country,week,NO2,PM2.5
Argentina,1,9.6875,79.01388888888889
Argentina,2,8.432539682539684,65.1190476190476
Argentina,3,6.671428571428572,27.416666666666668
Argentina,4,6.5,23.75
Argentina,5,5.178571428571429,26.083333333333332
Argentina,6,4.8220238095238095,18.857142857142858
Argentina,7,6.690476190476191,21.458333333333336
Argentina,8,6.059523809523809,26.607142857142858
Argentina,9,5.69047619047619,37.39484126984127
Argentina,10,4.416666666666667,36.09126984126984
Argentina,11,5.642857142857142,38.45238095238095
Argentina,12,3.880952380952381,29.238095238095237
Argentina,13,2.5753968253968256,29.94761904761905
Argentina,14,2.5059523809523814,26.023809523809526
Argentina,15,9.926984126984127,33.78174603174603
Argentina,16,4.678571428571429,29.214285714285715
Argentina,17,4.25,32.625
Australia,1,1.2,48.375
Australia,2,1.7142857142857142,46.285714285714285
Australia,3,2.2,26.114285714285714
Australia,4,1.2857142857142858,19.238095238095237
Australia,5,2.857142857142857,17.214285714285715
Australia,6,1.4285714285714286,27.285714285714285
Australia,7,1.4285714285714286,21.285714285714285
Australia,8,2.142857142857143,17.857142857142858
Australia,9,2.4285714285714284,13.875
Australia,10,1.1428571428571428,17.714285714285715
Australia,11,2.5,18.928571428571427
Australia,12,2.4285714285714284,14.428571428571427
Australia,13,2.7142857142857144,16.857142857142858
Australia,14,2.6666666666666665,16.07142857142857
Australia,15,2.0,16.5
Australia,16,3.2857142857142856,20.714285714285715
Australia,17,4.0,27.0
Austria,1,10.6,69.0
Austria,2,15.285714285714286,71.57142857142857
Austria,3,14.285714285714286,80.42857142857143
Austria,4,13.285714285714286,66.28571428571429
Austria,5,9.714285714285714,39.714285714285715
Austria,6,8.142857142857142,23.857142857142858
Austria,7,8.285714285714286,30.857142857142858
Austria,8,9.285714285714286,29.142857142857142
Austria,9,8.142857142857142,14.857142857142858
Austria,10,7.714285714285714,26.428571428571427
Austria,11,6.285714285714286,27.666666666666668
Austria,12,11.571428571428571,59.857142857142854
Austria,13,7.857142857142857,63.857142857142854
Austria,14,9.285714285714286,56.57142857142857
Austria,15,8.714285714285714,50.0
Austria,16,6.0,36.714285714285715
Austria,17,13.75,46.75
Bolivia,1,8.600000000000001,24.916666666666664
Bolivia,2,7.928571428571429,26.957142857142856
Bolivia,3,9.585714285714285,29.82142857142857
Bolivia,4,10.607142857142858,30.073809523809523
Bolivia,5,7.828571428571429,30.24404761904762
Bolivia,6,9.410714285714285,33.12202380952381
Bolivia,7,11.357142857142858,37.25595238095238
Bolivia,8,7.5,38.889880952380956
Bolivia,9,6.857142857142858,32.49404761904761
Bolivia,10,6.5357142857142865,37.226190476190474
Bolivia,11,3.6071428571428568,34.50595238095238
Bolivia,12,5.7142857142857135,40.68452380952381
Bolivia,13,3.9642857142857144,35.14880952380952
Bolivia,14,4.2857142857142865,34.566964285714285
Bolivia,15,2.9642857142857144,23.821428571428573
Bolivia,16,4.380952380952381,33.17261904761905
Bolivia,17,4.333333333333333,31.166666666666664
Brazil,1,10.35,58.25
Brazil,2,12.589285714285714,37.80357142857143
Brazil,3,11.571428571428571,53.35
Brazil,4,12.410714285714285,47.19642857142857
Brazil,5,12.375,47.32142857142857
Brazil,6,10.339285714285715,50.85714285714286
Brazil,7,11.753571428571428,46.50595238095239
Brazil,8,11.589285714285714,53.84226190476191
Brazil,9,11.321428571428571,47.260714285714286
Brazil,10,10.946428571428571,51.48809523809524
Brazil,11,10.107142857142858,58.71428571428571
Brazil,12,8.630952380952381,47.988095238095234
Brazil,13,9.982142857142856,46.23214285714286
Brazil,14,8.678571428571429,60.836309523809526
Brazil,15,8.125,59.985714285714295
Brazil,16,9.553571428571429,73.89285714285714
Brazil,17,10.854166666666668,70.625
Cambodia,1,,
Cambodia,2,,
Cambodia,3,,
Cambodia,4,,
Cambodia,5,,
Cambodia,6,,
Cambodia,7,,
Cambodia,8,,
Cambodia,9,,
Cambodia,10,,
Cambodia,11,6.4,149.75
Cambodia,12,7.0,143.57142857142858
Cambodia,13,4.5,151.42857142857142
Cambodia,14,5.285714285714286,147.42857142857142
Cambodia,15,3.142857142857143,128.0
Cambodia,16,5.0,125.14285714285714
Cambodia,17,4.0,172.0
Canada,1,9.891666666666666,21.713541666666668
Canada,2,11.907738095238095,26.616071428571427
Canada,3,12.315476190476192,30.428571428571427
Canada,4,16.821428571428573,32.48809523809524
Canada,5,14.74404761904762,26.125
Canada,6,11.610119047619047,24.30654761904762
Canada,7,11.714285714285714,33.85416666666667
Canada,8,11.839285714285714,29.607142857142854
