country,week,NO2,PM2.5
Brazil,6,16.428571428571427,48.35714285714286
Brazil,7,15.928571428571427,49.642857142857146
Brazil,8,17.142857142857142,50.047619047619044
Brazil,9,16.75,50.28571428571429
Brazil,10,19.035714285714285,66.5952380952381
Brazil,11,18.357142857142858,67.07142857142857
Canada,1,12.8125,39.6
Canada,2,11.267857142857142,31.678571428571427
Canada,3,13.089285714285715,29.482142857142858
Canada,4,14.160714285714285,30.312500000000004
Canada,5,15.232142857142856,31.169642857142858
Canada,6,13.848214285714286,35.642857142857146
Canada,7,12.55952380952381,29.473214285714285
Canada,8,9.973214285714286,35.3125
Canada,9,9.321428571428571,25.642857142857142
Canada,10,7.821428571428571,26.321428571428573
Canada,11,7.276785714285714,19.137500000000003
China,1,15.486666666666668,126.38666666666666
China,2,11.523809523809522,108.08571428571429
China,3,15.771428571428572,99.06666666666668
China,4,29.604761904761904,168.45238095238096
China,5,27.247619047619047,160.04285714285714
China,6,24.047619047619047,121.18571428571428
China,7,24.18095238095238,99.75714285714284
China,8,20.695238095238096,97.82380952380952
China,9,22.27142857142857,101.44285714285715
China,10,22.5,113.39047619047619
China,11,18.138095238095236,100.40952380952382
Czech Republic,1,13.3,73.39999999999999
Czech Republic,2,12.857142857142858,59.047619047619044
Czech Republic,3,18.714285714285715,74.71428571428572
Czech Republic,4,15.5,68.92857142857143
Czech Republic,5,12.642857142857142,51.5
Czech Republic,6,8.785714285714286,21.5
Czech Republic,7,7.857142857142857,16.011904761904763
Czech Republic,8,14.071428571428571,57.47619047619048
Czech Republic,9,11.5,53.85714285714286
Czech Republic,10,15.694444444444445,58.333333333333336
Czech Republic,11,8.412698412698413,76.35714285714286
Denmark,1,,
Denmark,2,,
Denmark,3,,
Denmark,4,,
Denmark,5,,
Denmark,6,14.285714285714286,31.833333333333332
Denmark,7,13.285714285714286,28.142857142857142
Denmark,8,14.285714285714286,36.714285714285715
Denmark,9,16.428571428571427,33.857142857142854
Denmark,10,20.428571428571427,70.57142857142857
Denmark,11,18.0,31.857142857142858
Ecuador,1,,54.199999999999996
Ecuador,2,,60.96428571428571
Ecuador,3,,73.0
Ecuador,4,,62.714285714285715
Ecuador,5,,62.71428571428571
Ecuador,6,,66.07142857142857
Ecuador,7,,69.78571428571429
Ecuador,8,,70.42857142857143
Ecuador,9,,71.53571428571428
Ecuador,10,,60.535714285714285
Ecuador,11,,60.964285714285715
Egypt,1,,
Egypt,2,,
Egypt,3,21.0,
Egypt,4,10.0,
Egypt,5,11.428571428571429,
Egypt,6,11.285714285714286,
Egypt,7,10.428571428571429,
Egypt,8,10.714285714285714,
Egypt,9,10.857142857142858,
Egypt,10,6.0,
Egypt,11,8.142857142857142,
Finland,1,6.45,33.6
Finland,2,8.428571428571429,34.17857142857143
Finland,3,7.428571428571429,18.964285714285715
Finland,4,7.17857142857143,23.678571428571427
Finland,5,7.535714285714286,20.714285714285715
Finland,6,7.178571428571429,21.642857142857146
Finland,7,7.964285714285714,29.464285714285715
Finland,8,6.499999999999999,20.642857142857142
Finland,9,7.357142857142858,21.71428571428571
Finland,10,11.928571428571429,42.357142857142854
Finland,11,12.035714285714286,26.25
France,1,16.394444444444442,44.45
France,2,18.68253968253968,55.18154761904762
France,3,26.38095238095238,72.39285714285714
France,4,27.222222222222225,77.98809523809524
France,5,18.49206349206349,64.88095238095238
France,6,13.380952380952381,31.202380952380956
France,7,12.492063492063492,28.299999999999997
France,8,20.3015873015873,62.375
France,9,20.746031746031747,59.96428571428571
France,10,15.129629629629628,49.26190476190476
France,11,13.222222222222223,63.28571428571429
Germany,1,18.456666666666667,76.8
Germany,2,12.804761904761904,48.47619047619048
Germany,3,24.088095238095242,72.71428571428571
Germany,4,21.645238095238092,64.28571428571429
Germany,5,15.395238095238094,65.80952380952381
Germany,6,9.385714285714284,25.333333333333332
Germany,7,10.99047619047619,20.238095238095237
Germany,8,17.419047619047618,62.095238095238095
Germany,9,18.166666666666668,52.57142857142858
Germany,10,15.821428571428573,62.904761904761905
Germany,11,11.46190476190476,63.714285714285715
Greece,1,,41.0
Greece,2,,43.214285714285715
Greece,3,,29.30357142857143
Greece,4,,28.214285714285715
Greece,5,,46.57142857142857
Greece,6,,51.0
Greece,7,,36.32142857142857
Greece,8,,39.92857142857143
Greece,9,,36.64285714285714
Greece,10,,34.57142857142857
Greece,11,,28.42857142857143
Hungary,1,14.666666666666666,72.0
Hungary,2,17.19047619047619,81.14285714285714
Hungary,3,23.42857142857143,72.85714285714286
Hungary,4,18.476190476190478,67.85714285714286
Hungary,5,13.380952380952381,54.0
Hungary,6,14.571428571428571,37.714285714285715
Hungary,7,11.314285714285715,27.8
Hungary,8,24.02857142857143,61.4
Hungary,9,19.095238095238095,41.42857142857143
Hungary,10,12.571428571428571,49.714285714285715
Hungary,11,11.0,49.285714285714285
India,1,13.622222222222222,143.70000000000002
India,2,13.85714285714286,143.84920634920636
India,3,13.365079365079367,137.69841269841268
