,Unnamed: 0,country,week,NO2,PM2.5
0,0,Argentina,5,24.784853700516347,-50.53729456384324
1,1,Argentina,6,-32.99421009098428,-60.78884396402342
2,2,Argentina,7,-8.76623376623375,-47.12525667351129
3,3,Argentina,8,-5.507425742574252,-54.16324856439706
4,4,Argentina,9,38.15028901734098,9.726135860832315
5,5,Argentina,10,14.506172839506192,0.055005500550081896
6,6,Argentina,11,39.90554899645808,-13.335122082103547
7,7,Argentina,12,-18.49999999999999,-44.120859119038954
8,8,Argentina,13,-55.3030303030303,-18.43060959792476
9,9,Argentina,14,-22.610294117647058,-31.365777080062752
10,10,Argentina,15,216.65822784810132,-7.987462170341552
11,11,Argentina,16,71.36627906976744,-21.320936197499194
12,12,Argentina,17,-19.11181601903251,-5.913655480216298
13,13,Australia,5,-52.27489659560929,-31.84935219180212
14,14,Australia,6,-69.60486322188449,14.86322823136351
15,15,Australia,7,-68.01705756929638,-9.838435316977412
16,16,Australia,8,-54.81927710843374,-21.907538525614346
17,17,Australia,9,-51.14942528735633,-46.2804203539823
18,18,Australia,10,-75.10373443983403,-29.605449900652857
19,19,Australia,11,-44.65917076598734,-23.27735958309207
20,20,Australia,12,-34.91577335375194,-39.229843561973524
21,21,Australia,13,-46.92737430167597,-18.957899315491865
22,22,Australia,14,-43.73744139316813,-28.879991570961987
23,23,Australia,15,-62.63345195729537,-32.482462977396736
24,24,Australia,16,-25.00000000000001,-29.64580300824843
25,25,Australia,17,-17.968750000000007,2.9692181966766547
26,26,Austria,5,-39.2857142857143,-31.52709359605911
27,27,Austria,6,-53.27868852459015,-67.88461538461539
28,28,Austria,7,-67.95580110497238,-54.90605427974949
29,29,Austria,8,-50.38167938931298,-48.87218045112781
30,30,Austria,9,-45.19230769230769,-68.29268292682926
31,31,Austria,10,-41.935483870967744,46.82539682539683
32,32,Austria,11,-55.10204081632652,20.289855072463787
33,33,Austria,12,-51.20481927710843,-3.67816091954024
34,34,Austria,13,-60.99290780141843,22.465753424657525
35,35,Austria,14,-25.28735632183907,-3.6496350364963557
36,36,Austria,15,-48.73949579831933,-32.82149712092131
37,37,Austria,16,-62.83185840707964,-27.401129943502823
38,38,Austria,17,28.333333333333343,12.84482758620689
39,39,Bolivia,5,6.874695270599739,-15.715612766239783
40,40,Bolivia,6,-8.188153310104557,-24.12735205890375
41,41,Bolivia,7,82.548794489093,-2.0500782472613466
42,42,Bolivia,8,-11.016949152542377,-0.79714546006679
43,43,Bolivia,9,-9.717868338558002,-24.557766721945853
44,44,Bolivia,10,-20.434782608695624,-16.573288511819012
45,45,Bolivia,11,-50.97087378640778,-11.738733252131548
46,46,Bolivia,12,-25.925925925925938,15.612313937753726
47,47,Bolivia,13,-46.6346153846154,-18.809294651450593
48,48,Bolivia,14,-24.99999999999996,11.18609994256174
49,49,Bolivia,15,-45.39473684210527,-18.579101562499993
50,50,Bolivia,16,-29.50191570881224,11.638621794871803
51,51,Bolivia,17,-27.777777777777782,-25.603864734299517
52,52,Brazil,5,-37.657430730478595,-19.235223601601078
53,53,Brazil,6,-38.40425531914891,-4.086214638527162
54,54,Brazil,7,-18.940886699507402,-1.9575856443719308
55,55,Brazil,8,-25.05773672055427,16.806559917355354
56,56,Brazil,9,-38.065776619993485,3.0429139989617693
57,57,Brazil,10,-33.36956521739129,6.474643032988686
58,58,Brazil,11,-36.547085201793706,18.27338129496403
59,59,Brazil,12,-49.65277777777778,-4.115128449096101
60,60,Brazil,13,-40.40511727078893,-8.061079545454549
61,61,Brazil,14,-54.409005628517804,-8.647658205219885
62,62,Brazil,15,-55.739299610894946,-10.564430244941413
63,63,Brazil,16,-46.92460317460317,18.16105082809821
64,64,Brazil,17,-39.45883134130144,7.706971677559918
65,65,Canada,5,15.075493612078988,-34.02777777777778
66,66,Canada,6,3.0375066032752276,-23.27132656895903
67,67,Canada,7,-10.504774897680763,14.829396325459342
68,68,Canada,8,-16.393442622950808,-2.326951399116369
69,69,Canada,9,-32.200078155529525,-8.077914637639644
70,70,Canada,10,-34.55834945196647,-29.54241816967268
71,71,Canada,11,-37.606635071090075,-11.037059476926206
72,72,Canada,12,-13.518352730528207,-14.774546986936336
73,73,Canada,13,-20.849297573435507,9.946610956360226
74,74,Canada,14,-35.99695585996957,-23.56399819086388
75,75,Canada,15,-20.28629856850715,26.387981711299762
76,76,Canada,16,-15.338474721508154,8.264686022957449
77,77,Canada,17,-5.083203328133132,24.578971324533462
78,78,Chile,5,,
79,79,Chile,6,,
80,80,Chile,7,,
81,81,Chile,8,,
82,82,Chile,9,,
83,83,Chile,10,,
84,84,Chile,11,,
85,85,Chile,12,,
86,86,Chile,13,,
87,87,Chile,14,,
88,88,Chile,15,,
89,89,Chile,16,,
90,90,Chile,17,,
91,91,Colombia,5,,
92,92,Colombia,6,,
93,93,Colombia,7,,
94,94,Colombia,8,,
95,95,Colombia,9,,
96,96,Colombia,10,,
97,97,Colombia,11,,
98,98,Colombia,12,,
99,99,Colombia,13,,
100,100,Colombia,14,,
101,101,Colombia,15,,
102,102,Colombia,16,,
103,103,Colombia,17,,
104,104,Czech Republic,5,-32.68886501969209,-34.79953289217593
105,105,Czech Republic,6,-39.629629629629626,-52.09677419354837
106,106,Czech Republic,7,-56.997455470737926,-28.48948374760995
107,107,Czech Republic,8,-51.76651305683563,-68.9119170984456
108,108,Czech Republic,9,-43.87947269303202,-66.71289875173372
109,109,Czech Republic,10,-0.2710027100270993,34.26356589147286
110,110,Czech Republic,11,-1.2121212121212077,82.75092936802969
111,111,Czech Republic,12,-20.473773265651463,14.333057166528587
112,112,Czech Republic,13,-34.98964803312628,28.514588859416445
113,113,Czech Republic,14,-68.49557522123894,-28.64285714285716
114,114,Czech Republic,15,-7.877358490566022,-52.19831618334893
115,115,Czech Republic,16,-38.60759493670886,-17.727840199750318
116,116,Czech Republic,17,-23.95543175487466,11.654478976234012
117,117,Denmark,5,,
118,118,Denmark,6,,
119,119,Denmark,7,,
120,120,Denmark,8,,
121,121,Denmark,9,,
122,122,Denmark,10,10.000000000000014,27.449513836948405
123,123,Denmark,11,-27.956989247311824,8.629441624365464
124,124,Denmark,12,-39.99999999999999,-14.396887159533073
125,125,Denmark,13,-40.869565217391305,37.13080168776372
126,126,Denmark,14,-64.33566433566433,-64.37246963562752
127,127,Denmark,15,-52.38095238095238,21.076233183856505
128,128,Denmark,16,-69.18238993710692,-30.921052631578945
129,129,Denmark,17,-13.732394366197177,-39.78494623655914
130,130,Ecuador,5,,7.472324723247227
131,131,Ecuador,6,,3.8859597734817677
132,132,Ecuador,7,,-6.934931506849315
133,133,Ecuador,8,,-18.90660592255125
134,134,Ecuador,9,,-20.728929384965824
135,135,Ecuador,10,,-11.459459459459445
136,136,Ecuador,11,,-15.332650972364393
137,137,Ecuador,12,,-53.27079107505072
138,138,Ecuador,13,,-30.054917623564638
139,139,Ecuador,14,,-32.03539823008851
140,140,Ecuador,15,,-45.75278265963679
