country,week,NO2,PM2.5
Argentina,0,9.850000000000001,79.01388888888889
Argentina,1,8.432539682539684,65.1190476190476
Argentina,2,6.671428571428572,27.416666666666668
Argentina,3,6.5,23.75
Argentina,4,5.178571428571429,26.083333333333332
Argentina,5,4.8220238095238095,18.857142857142858
Argentina,6,6.690476190476191,21.458333333333336
Argentina,7,6.059523809523809,26.607142857142858
Argentina,8,5.69047619047619,37.39484126984127
Argentina,9,4.416666666666667,36.09126984126984
Argentina,10,6.357142857142857,38.45238095238095
Argentina,11,4.875,31.388888888888886
Australia,0,3.9288888888888893,47.09583333333333
Australia,1,5.284761904761905,49.483333333333334
Australia,2,5.806666666666667,43.376507936507934
Australia,3,5.817619047619048,27.207142857142856
Australia,4,5.848888888888888,26.395238095238096
Australia,5,5.520634920634921,29.93333333333333
Australia,6,4.996031746031746,24.030952380952378
Australia,7,5.3080357142857135,23.48690476190476
Australia,8,6.1682539682539685,20.49543650793651
Australia,9,5.743174603174603,23.856190476190477
Australia,10,5.602777777777778,21.211904761904762
Australia,11,6.11888888888889,20.631666666666668
Austria,0,,76.0
Austria,1,,78.14285714285714
Austria,2,,82.14285714285714
Austria,3,,75.28571428571429
Austria,4,,42.42857142857143
Austria,5,,29.0
Austria,6,,34.857142857142854
Austria,7,,34.142857142857146
Austria,8,,19.571428571428573
Austria,9,,31.714285714285715
Austria,10,,28.0
Austria,11,,63.0
Bolivia,0,8.600000000000001,24.916666666666664
Bolivia,1,7.928571428571429,26.957142857142856
Bolivia,2,9.585714285714285,29.82142857142857
Bolivia,3,10.607142857142858,30.073809523809523
Bolivia,4,7.828571428571429,30.24404761904762
Bolivia,5,9.410714285714285,33.12202380952381
Bolivia,6,11.357142857142858,37.25595238095238
Bolivia,7,7.5,38.889880952380956
Bolivia,8,9.785714285714286,32.49404761904761
Bolivia,9,6.5357142857142865,37.226190476190474
Bolivia,10,4.321428571428571,34.50595238095238
Bolivia,11,6.4,39.986111111111114
Brazil,0,9.766666666666666,52.645833333333336
Brazil,1,16.07142857142857,61.76785714285714
Brazil,2,12.265873015873016,58.422619047619044
Brazil,3,13.091269841269842,52.125
Brazil,4,13.261904761904763,53.375
Brazil,5,12.404761904761903,50.35714285714286
Brazil,6,13.56904761904762,54.0
Brazil,7,14.011904761904763,60.26488095238095
Brazil,8,13.047619047619047,54.14285714285714
Brazil,9,13.023809523809524,53.07142857142857
Brazil,10,13.630952380952383,61.285714285714285
Brazil,11,13.666666666666666,55.16666666666667
Canada,0,9.475,22.151041666666668
Canada,1,11.270833333333332,26.919642857142858
Canada,2,11.351190476190476,30.642857142857142
Canada,3,16.05952380952381,32.148809523809526
Canada,4,13.851190476190478,26.160714285714285
Canada,5,10.788690476190474,23.967261904761905
Canada,6,10.821428571428571,33.782738095238095
Canada,7,11.017857142857142,29.46428571428571
Canada,8,9.75595238095238,29.02678571428571
Canada,9,8.098214285714286,25.434523809523807
Canada,10,7.872023809523809,26.238095238095237
Canada,11,9.35,31.364583333333332
Chile,0,14.299999999999999,61.125
Chile,1,23.928571428571427,85.5
Chile,2,19.785714285714285,81.58333333333334
Chile,3,14.142857142857142,80.52380952380952
Chile,4,14.0,63.35714285714286
Chile,5,16.5,79.07142857142857
Chile,6,20.24285714285714,101.38095238095238
Chile,7,22.214285714285715,90.03571428571428
Chile,8,18.214285714285715,92.0
Chile,9,20.07142857142857,107.35714285714286
Chile,10,18.285714285714285,113.21428571428572
Chile,11,18.7,112.83333333333334
China,0,34.935,145.48888888888888
China,1,25.972380952380952,106.83174603174602
China,2,27.690476190476193,152.07619047619045
China,3,22.014285714285712,139.3
China,4,16.70634920634921,148.1238095238095
China,5,15.728571428571428,106.15238095238094
China,6,17.728571428571428,136.23333333333332
China,7,16.65714285714286,91.38571428571429
China,8,16.576190476190476,111.23730158730159
China,9,16.990476190476194,99.81904761904761
China,10,19.51904761904762,103.06666666666665
China,11,22.633333333333333,109.57777777777778
Colombia,0,12.2,66.0
Colombia,1,14.571428571428571,74.71428571428571
Colombia,2,16.571428571428573,84.0
Colombia,3,14.142857142857142,84.71428571428571
Colombia,4,14.0,77.0
Colombia,5,18.8,105.14285714285714
Colombia,6,19.285714285714285,118.42857142857143
Colombia,7,19.428571428571427,100.57142857142857
Colombia,8,16.428571428571427,110.42857142857143
Colombia,9,20.714285714285715,131.85714285714286
Colombia,10,12.714285714285714,144.14285714285714
Colombia,11,16.4,152.33333333333334
Czech Republic,0,11.9,74.91666666666666
Czech Republic,1,11.285714285714286,39.42857142857143
